word	speaker	DOB	F1	F2	F1_n	F2_n	fol_seg	context	word_status	phrase_status
15	1	1979	528.8	1300	-0.414410077188123	-0.61221050989562	T	faithful	coda	coda
15	1	1979	540.8	1303.7	-0.264669313440748	-0.600384481663317	T	faithful	coda	coda
15	1	1979	520.8	1280.2	-0.514237253019707	-0.675495742057672	T	faithful	coda	coda
31	1	1979	525.4	1342.5	-0.456836626916546	-0.476370996416468	T	faithful	coda	coda
31	1	1979	573.1	1379.6	0.138382908979272	-0.357791091708786	T	faithful	coda	coda
34	1	1979	592.1	972.5	0.375472451579284	-1.65897381964673	T	faithful	coda1	coda1
34	1	1979	607.5	1059.2	0.567639765055082	-1.38186121214926	T	faithful	coda1	coda1
34	1	1979	607.7	1121.1	0.570135444450872	-1.18401495604668	T	faithful	coda1	coda
34	1	1979	592.3	1474.8	0.377968130975072	-0.0535105815154857	T	faithful	coda1	coda1
34	1	1979	576.7	1188.6	0.183305138103485	-0.968269846403326	T	faithful	coda1	coda
34	1	1979	623.5	1125	0.767294116718249	-1.17154968304507	T	faithful	coda1	coda
46	1	1979	588.7	1129.5	0.333045901850861	-1.15716667573551	T	word_flap	onset	onset
53	1	1979	541.7	1431.6	-0.253438756159693	-0.191587451687235	T	faithful	coda	coda
61	1	1979	631.4	1445.2	0.865873452851938	-0.148118807373906	T	faithful	coda	coda
81	1	1979	571.9	1582.4	0.123408832604534	0.290403104375261	T	faithful	coda	coda
96	1	1979	638.5	1445.9	0.954470071402469	-0.145881450681308	D	faithful	coda1	coda
96	1	1979	640.1	1421.5	0.974435506568786	-0.223869312537575	D	faithful	coda1	coda1
96	1	1979	617.5	1480.4	0.692423734844562	-0.0356117279747029	D	faithful	coda1	coda1
96	1	1979	614.2	1397.6	0.651245024814034	-0.300259062470557	D	faithful	coda1	coda1
96	1	1979	629.5	1464.7	0.842164498591937	-0.085792442365825	D	faithful	coda1	coda1
96	1	1979	662	1463.6	1.24771240040775	-0.0893082885970505	D	faithful	coda1	coda1
96	1	1979	657.2	1487.6	1.1878160949088	-0.0125989162794119	D	faithful	coda1	coda1
106	1	1979	638.5	1470.9	0.954470071402469	-0.0659758545171015	D	phrase_flap	coda	onset
113	1	1979	666.6	1444.6	1.30511302651091	-0.150036541681848	D	word_flap	onset	onset
115	1	1979	658.7	1431.5	1.20653369037722	-0.191907074071892	D	faithful	coda	coda
115	1	1979	665.9	1368.9	1.29637814862564	-0.391990686867066	D	faithful	coda	coda
115	1	1979	624.3	1402.8	0.777276834301407	-0.283638698468402	D	faithful	coda	coda
115	1	1979	634.7	1421.6	0.907052162882467	-0.223549690152918	D	phrase_flap	coda	onset
128	1	1979	659.7	1464.3	1.21901208735617	-0.0870709319044526	D	faithful	coda	coda
128	1	1979	650.2	1441.8	1.10046731605616	-0.158985968452239	D	faithful	coda	coda
132	1	1979	692.4	1322.3	1.62705566856776	-0.540934718117148	D	faithful	coda	coda
139	1	1979	639.3	1514.5	0.964452788985626	0.073379505193275	D	faithful	coda	coda
139	1	1979	672.7	1372.9	1.38123124808249	-0.379205791480793	D	faithful	coda	coda
139	1	1979	682.8	1431.1	1.50726305756986	-0.193185563610519	D	faithful	coda	coda
139	1	1979	741.9	1485.8	2.24473631902569	-0.0183521192032347	D	phrase_flap	coda	onset
157	1	1979	689.4	1406.2	1.58962047763092	-0.272771537390069	D	faithful	coda1	coda1
18	2	1948	530.1	1371.4	-0.604937303508824	-0.793544622828026	T	faithful	coda	coda
31	2	1948	521.6	1476.5	-0.658116142362878	-0.551937307824679	T	faithful	coda	coda
31	2	1948	625.3	1470.2	-0.0093343083434266	-0.566419953728781	T	faithful	coda	coda
31	2	1948	734.5	1571.5	0.673857362581589	-0.333548202921559	T	phrase_flap	coda	onset
32	2	1948	579.2	1407.7	-0.29775130495188	-0.710096996428202	T	faithful	coda	coda
32	2	1948	742	1534.4	0.720779867452813	-0.418834895467935	T	faithful	coda	coda
32	2	1948	717.2	1367.4	0.565622784678634	-0.802739953560789	T	faithful	coda	coda
49	2	1948	651.5	1588.6	0.154581642006715	-0.294238164038997	T	faithful	coda	coda
61	2	1948	706.9	1421.2	0.501182544655486	-0.679062755205127	T	faithful	coda	coda
61	2	1948	605.6	1354.3	-0.132584087805174	-0.832854661710588	T	faithful	coda	coda
81	2	1948	842.4	1682.3	1.34891579932893	-0.0788375416240249	T	faithful	coda	coda
81	2	1948	655.8	1582.8	0.181483878132883	-0.307571393601504	T	faithful	coda	coda
81	2	1948	821.7	1381.9	1.21940968588435	-0.769406879654523	T	faithful	coda	coda
81	2	1948	693.3	1690.7	0.416096402489001	-0.0595273470852224	T	phrase_flap	coda	onset
106	2	1948	700.7	1423	0.462393273961942	-0.674924856375384	D	faithful	coda	coda
113	2	1948	839.2	1513.2	1.32889553058387	-0.467570148351579	D	word_flap	onset	onset
113	2	1948	855.9	1799.9	1.43337630809713	0.191505181919207	D	word_flap	onset	onset
115	2	1948	1052	1440.4	2.66024340213006	-0.634925167687865	D	faithful	coda	coda
115	2	1948	885	1596.2	1.61543562699748	-0.276767035646747	D	phrase_flap	coda	onset
115	2	1948	919.8	1526	1.83315604959995	-0.438145090006738	D	phrase_flap	coda	onset
115	2	1948	905.5	1750.4	1.74369047364549	0.0777129641012649	D	phrase_flap	coda	onset
133	2	1948	1116.1	1513.5	3.06127441042945	-0.466880498546622	D	faithful	coda	coda
139	2	1948	714.1	1576.3	0.546228149331861	-0.322513806042243	D	phrase_flap	coda	onset
167	2	1948	714.4	1599.7	0.54810504952671	-0.26872112125558	D	faithful	coda	coda
177	2	1948	837.9	1402.4	1.32076229640619	-0.722280809649113	D	faithful	coda	coda
15	3	1982	557.8	1220.7	0.452483188226457	-0.736102852561244	T	faithful	coda	coda
15	3	1982	592	1204.9	0.85686623762754	-0.790441335157344	T	faithful	coda	coda
15	3	1982	553.3	1217.3	0.399274892252631	-0.74779594375281	T	faithful	coda	coda
15	3	1982	509.7	1110.8	-0.116254375404889	-1.11406482960627	T	faithful	coda	coda
15	3	1982	533.3	1162.7	0.162793576813401	-0.935573231711486	T	faithful	coda	coda
15	3	1982	559.8	1203.1	0.47613131977038	-0.796631795199938	T	faithful	coda	coda
15	3	1982	551.8	1126.9	0.381538793594689	-1.05869460366974	T	faithful	coda	coda
15	3	1982	531.7	1219.7	0.143875071578264	-0.739541997029352	T	faithful	coda	coda
15	3	1982	557.3	1125.1	0.446571155340477	-1.06488506371233	T	faithful	coda	coda
15	3	1982	539.5	1254.8	0.236102784599563	-0.618828026198775	T	faithful	coda	coda
15	3	1982	565.7	1275.6	0.545893307824954	-0.547293821262137	T	phrase_flap	coda	onset
26	3	1982	513.2	1272.5	-0.0748701452030235	-0.55795516911327	T	word_flap	onset	onset
29	3	1982	563.8	1227.1	0.523427582858226	-0.714092327965356	T	faithful	coda	coda
29	3	1982	556.8	1199.9	0.440659122454496	-0.807637057497882	T	faithful	coda	coda
29	3	1982	568.3	1195	0.576635878832053	-0.82448886539161	T	faithful	coda	coda
29	3	1982	515.9	1267.8	-0.0429451676187283	-0.574119148113376	T	faithful	coda	coda
31	3	1982	559.7	1411.9	0.474948913193185	-0.0785384302590682	T	faithful	coda	coda
31	3	1982	532.8	1489.8	0.15688154392742	0.189370923806514	T	faithful	coda	coda
31	3	1982	493.1	1421.6	-0.312533867219449	-0.045178728918425	T	faithful	coda	coda
31	3	1982	472.8	1426	-0.552562402390268	-0.0300464932587512	T	faithful	coda	coda
31	3	1982	478.6	1410.2	-0.483982820912891	-0.0843849758548513	T	faithful	coda	coda
31	3	1982	529.6	1398.8	0.119044533457145	-0.123591222791278	T	faithful	coda	coda
31	3	1982	523.1	1218.8	0.0421881059393949	-0.742637227050649	T	faithful	coda	coda
31	3	1982	538.2	1581.2	0.220731499096013	0.50370872819155	T	faithful	coda	coda
31	3	1982	477.7	1381.1	-0.494624480107657	-0.184464079876783	T	faithful	coda	coda
31	3	1982	495	1504.8	-0.290068142252723	0.240958090828129	T	faithful	coda	coda
31	3	1982	548.3	1462.2	0.340154563392823	0.0944505364867445	T	faithful	coda	coda
31	3	1982	517.8	1334.3	-0.0204794426520017	-0.345416040984219	T	faithful	coda	coda
31	3	1982	545.2	1338	0.303499959499744	-0.332691206452221	T	faithful	coda	coda
31	3	1982	515	1361.5	-0.0535868268134933	-0.251871311451692	T	faithful	coda	coda
31	3	1982	593.2	1401.2	0.871055116553895	-0.11533727606782	T	faithful	coda	coda
31	3	1982	543	1340.8	0.277487014801428	-0.32306160194152	T	faithful	coda	coda
31	3	1982	539.3	1315.3	0.23373797144517	-0.410759785878264	T	faithful	coda	coda
31	3	1982	544.7	1407.9	0.297587926613763	-0.0922950081314987	T	faithful	coda	coda
31	3	1982	520.3	1147.9	0.00908072177790195	-0.986472569839478	T	faithful	coda	coda
31	3	1982	495.6	1550.8	-0.282973702789546	0.399158736361079	T	faithful	coda	coda
31	3	1982	515.6	1457.5	-0.0464923873503162	0.0782865574866386	T	faithful	coda	coda
31	3	1982	538.4	1264.9	0.223096312250405	-0.584092667070887	T	faithful	coda	coda
31	3	1982	543	1271.9	0.277487014801428	-0.560018655794134	T	phrase_flap	coda	onset
32	3	1982	507.4	1385.6	-0.143449726680401	-0.168987929770299	T	faithful	coda	coda
32	3	1982	469.8	1380.5	-0.588034599706152	-0.186527566557648	T	faithful	coda	coda
34	3	1982	553.8	996	0.405186925138611	-1.50887861454502	T	faithful	coda1	coda1
34	3	1982	608.3	1218.4	1.04959850971051	-0.744012884837891	T	faithful	coda1	coda1
34	3	1982	567.5	1292.7	0.567176626214484	-0.488484450857496	T	faithful	coda1	coda1
41	3	1982	517.9	1452.9	-0.0192970360748053	0.0624664929333439	T	faithful	coda1	coda
41	3	1982	548.2	1342.4	0.338972156815628	-0.317558970792547	T	faithful	coda1	coda
41	3	1982	582.8	1295.9	0.748084832525494	-0.477479188559551	T	faithful	coda1	coda
41	3	1982	565.5	1318.7	0.543528494670561	-0.399066694686698	T	faithful	coda1	coda1
53	3	1982	489.2	1256.2	-0.3586477237301	-0.614013223943424	T	phrase_flap	coda	onset
56	3	1982	599.4	1226.4	0.944364324340055	-0.716499729093031	T	word_flap	onset	onset
61	3	1982	547.5	1420.7	0.330695310775255	-0.0482739589397214	T	faithful	coda	coda
61	3	1982	498.5	1519.4	-0.248683912050858	0.2911696000625	T	faithful	coda	coda
61	3	1982	630	1497.8	1.30618073696208	0.216884079551375	T	phrase_flap	coda	onset
72	3	1982	537	1375.5	0.206542620169659	-0.203723288898186	T	faithful	coda	coda
81	3	1982	551.9	1463.1	0.382721200171885	0.0975457665080409	T	faithful	coda	coda
81	3	1982	629.6	1322.2	1.30145111065329	-0.387029689048321	T	faithful	coda	coda
81	3	1982	553.6	1407.5	0.40282211198422	-0.0936706659187421	T	faithful	coda	coda
81	3	1982	576.1	1347.2	0.668863591853353	-0.301051077345631	T	faithful	coda	coda
81	3	1982	553.8	1425.5	0.405186925138611	-0.031766065492805	T	faithful	coda	coda
88	3	1982	619.1	1504.1	1.1772984200477	0.238550689700453	D	word_flap	onset	onset
90	3	1982	533.5	1530	0.165158389967794	0.327624531424441	T	word_flap	onset	onset
96	3	1982	658.2	1555.8	1.63961939173139	0.416354458701617	D	faithful	coda1	coda1
