File	word	count
376	FRIDAY	1
376	SATURDAYS	1
376	THURSDAY	1
376	WEDNESDAY	1
216	DAY	1
154	TUESDAY	1
154	SATURDAY	2
154	TODAY	2
19	SUNDAY	2
19	FRIDAY	1
19	NOWADAYS	1
19	DAY	4
19	TODAY	2
18	FRIDAY	1
18	DAY	1
18	TODAY	1
203	FRIDAY	1
203	DAYS	3
203	THURSDAY	2
203	DAY	4
203	EVERYDAY	2
203	TODAY	1
22	DAY	6
22	TODAY	1
142	FRIDAY	1
142	TODAY	2
48	TUESDAY	1
48	SUNDAY	1
48	THURSDAY	3
48	PAYDAY	2
48	HOLIDAY	1
48	NOWADAYS	4
48	DAY	7
48	TODAY	3
160	BIRTHDAYS	1
160	DAY	2
121	EVERYDAY	1
121	DAY	16
121	DAYS	3
330	DAY	2
330	WEEKDAYS	1
42	TUESDAY	1
42	DAYS	8
42	DAY	14
42	SUNDAY	5
42	BIRTHDAY	2
42	EVERYDAY	1
42	TODAY	6
59	DAY	3
59	TODAY	2
46	SATURDAY	3
46	SUNDAYS	1
46	TUESDAY	1
46	FRIDAY	2
46	YESTERDAY	3
46	THURSDAY	2
46	DAYS	7
46	SUNDAY	11
46	HOLIDAYS	1
46	DAY	20
46	TODAY	1
80	SOMEDAY	1
80	WEDNESDAY	1
80	FRIDAY	2
80	DAYS	2
80	THURSDAY	1
80	HOLIDAYS	5
80	SUNDAY	1
80	BIRTHDAY	2
80	DAY	7
80	TODAY	5
8	THURSDAY	1
186	YESTERDAY	1
186	NOWADAYS	1
186	SATURDAY	1
186	DAY	1
126	DAY	1
126	TODAY	3
233	TUESDAY	3
233	FRIDAY	1
233	DAY	8
233	MONDAY	2
257	BIRTHDAY	2
257	DAY	3
257	YESTERDAY	3
29	WEDNESDAY	1
308	DAYS	3
308	TODAY	5
290	SUNDAY	1
290	DAY	1
294	MONDAY	1
294	SUNDAYS	1
294	TUESDAY	1
294	FRIDAY	1
294	DAYS	1
294	SATURDAY	1
294	MONDAYS	7
294	DAY	4
294	TODAY	2
118	SATURDAY	2
118	MONDAY	1
118	HOLIDAYS	1
118	FRIDAY	8
118	DAYS	2
118	YESTERDAY	2
118	SUNDAY	1
118	HOLIDAY	3
118	EVERYDAY	1
118	DAY	6
118	TODAY	13
344	DAY	2
344	DAYS	1
32	YESTERDAY	1
32	BIRTHDAY	1
32	DAYS	2
32	DAY	6
271	MONDAY	1
271	DAYS	2
271	DAY	11
271	TODAY	5
271	SATURDAYS	1
150	FRIDAY	4
150	DAY	2
77	SOMEDAY	1
77	MONDAY	1
77	SUNDAYS	1
77	TUESDAY	1
77	FRIDAY	3
77	DAYS	1
77	SATURDAY	2
77	SUNDAY	2
77	DAY	5
77	TODAY	12
7	DAY	1
247	SATURDAYS	1
247	DAYS	5
247	EVERYDAY	2
247	SUNDAY	1
247	DAY	1
247	TODAY	2
201	MONDAY	1
201	HOLIDAY	1
201	DAY	5
201	THURSDAY	1
363	DAY	1
363	EVERYDAY	1
192	BIRTHDAY	1
192	DAY	7
174	DAY	1
174	EVERYDAY	1
174	TODAY	11
174	DAYS	1
122	TUESDAY	2
122	DAYS	2
122	THURSDAY	1
122	YESTERDAY	1
122	WEDNESDAYS	1
122	TUESDAYS	1
122	DAY	2
122	TODAY	7
374	DAY	1
374	EVERYDAY	1
320	HOLIDAYS	1
358	MONDAY	1
358	TUESDAY	1
358	DAYS	3
358	DAY	2
358	EVERYDAY	1
358	TODAY	1
281	TODAY	2
369	DAY	3
369	TODAY	2
321	DAY	3
55	SUNDAYS	1
55	FRIDAY	1
55	BIRTHDAY	1
55	DAY	1
55	SUNDAY	2
55	FRIDAYS	1
55	NOWADAYS	1
55	EVERYDAY	1
137	DAYS	3
137	FRIDAY	2
137	YESTERDAY	1
137	DAY	5
137	SATURDAY	1
137	TODAY	2
243	MONDAY	9
243	NOWADAYS	4
243	TUESDAY	4
243	FRIDAY	4
243	DAYS	1
243	THURSDAY	1
243	SATURDAY	6
243	SUNDAY	1
243	MONDAYS	1
243	EVERYDAY	3
243	DAY	16
250	BIRTHDAY	1
250	SATURDAY	1
250	EVERYDAY	1
314	DAY	5
314	DAYS	1
267	THURSDAY	1
267	FRIDAY	1
267	DAY	2
267	TODAY	1
267	DAYS	2
268	YESTERDAY	1
268	TODAY	4
268	DAYS	4
214	DAY	7
214	DAYS	2
214	YESTERDAY	3
214	EVERYDAY	1
214	WEDNESDAY	2
173	DAY	1
173	EVERYDAY	1
173	TODAY	11
173	DAYS	1
329	WEEKDAYS	1
329	DAY	4
329	SUNDAY	1
329	NOWADAYS	1
329	EVERYDAY	3
329	TODAY	2
62	DAY	1
62	TODAY	1
110	TUESDAY	1
110	BIRTHDAY	2
110	DAY	12
110	TODAY	1
110	DAYS	2
350	SOMEDAY	1
350	TUESDAY	1
350	DAYS	34
350	NOWADAYS	2
350	DAY	3
350	TODAY	21
45	DAYS	1
45	DAY	3
45	TODAY	4
45	HOLIDAYS	1
151	BIRTHDAY	1
151	DAY	7
151	TODAY	1
151	SATURDAY	2
170	SATURDAY	1
170	FRIDAY	1
170	DAYS	1
170	TODAY	2
170	DAY	3
342	DAY	1
342	DAYS	13
342	TODAY	11
342	EVERYDAY	1
280	DAY	1
280	TODAY	4
212	TODAY	1
212	TUESDAY	3
212	FRIDAY	4
212	WEDNESDAY	2
212	THURSDAY	2
28	NOWADAYS	1
28	YESTERDAY	1
28	DAY	2
315	FRIDAY	1
315	DAY	7
315	DAYS	3
230	SUNDAY	1
230	SATURDAY	1
276	BIRTHDAY	1
276	DAY	2
276	MONDAY	1
246	SATURDAYS	1
246	DAY	7
246	FRIDAY	4
246	DAYS	3
246	THURSDAY	1
246	EVERYDAY	1
246	FRIDAYS	3
246	SATURDAY	3
246	WEDNESDAY	1
274	SUNDAYS	1
274	SATURDAY	1
274	TODAY	1
274	DAY	2
303	MONDAY	1
303	HOLIDAYS	1
303	TUESDAY	1
303	FRIDAY	1
303	DAYS	1
303	THURSDAY	1
303	SATURDAY	1
303	MONDAYS	1
303	HOLIDAY	1
303	DAY	4
209	YESTERDAY	1
83	DAY	1
86	MONDAY	3
86	DAY	8
86	TODAY	7
86	THURSDAY	1
331	THURSDAYS	1
331	FRIDAY	3
331	DAYS	2
331	THURSDAY	1
331	SATURDAY	3
331	SUNDAY	4
331	MONDAYS	1
331	WEDNESDAYS	1
331	DAY	7
331	TODAY	11
331	WEEKDAYS	1
305	SUNDAY	1
305	MONDAY	1
39	SATURDAY	1
39	MONDAY	1
39	DAY	6
39	SUNDAY	4
39	HOLIDAY	1
39	EVERYDAY	1
39	TODAY	1
89	SATURDAYS	1
89	FRIDAY	1
89	DAYS	1
89	DAY	1
89	BIRTHDAY	5
89	EVERYDAY	1
335	WEDNESDAYS	1
335	DAY	1
335	TUESDAYS	1
335	WEDNESDAY	1
335	DAYS	1
96	SUNDAYS	1
96	DAY	2
96	TODAY	1
96	DAYS	3
35	MONDAY	3
35	FRIDAY	2
35	DAYS	4
35	DAY	2
35	SUNDAY	6
35	HOLIDAYS	2
35	EVERYDAY	2
35	TODAY	17
135	SUNDAY	1
135	FRIDAY	1
135	DAY	3
379	DAY	2
379	TODAY	3
178	SATURDAY	1
178	FRIDAY	1
178	BIRTHDAY	1
178	DAYS	7
178	DAY	3
116	MONDAY	2
116	WEDNESDAY	3
116	TUESDAY	1
