speaker	sex	year	age	ethnicity	schooling	transcribed	total	nvowels
1	m	2000	21	i/r	14	2810.733	2814.345	3078
2	f	2000	52	o/i	12	2813.321	2826.45	3702
3	m	2000	18	i	12	3706.089	3717.926	5885
4	m	2000	18	i	12	2777.893	3957.084	3884
5	m	2000	70	i	12	2739.913	2758.806	4119
6	f	2000	65	a	12	1200.988	2689.271	1376
7	f	2002	93	w	10	1200.568	2587.36	1471
8	f	2002	16	s	10	483.747	492.168	258
21	m	2004	21	w	15	904.707	3799.509	859
22	f	2004	78	w	12	3197.219	3219.146	3213
23	m	2004	83	w	12	2825.828	3219.146	1396
24	f	2004	17	p/g	11	1202.773	3732.191	836
25	m	2004	65	r	12	1803.14	4575.861	2565
26	f	2004	45	h	16	1199.808	2080.042	1322
27	f	2004	17	h	12	1197.348	1622.381	1446
28	f	2004	11	h	6	1675.773	1708.596	1518
29	f	2004	25	h	12	1276.952	1297.215	1480
30	f	2004	11	h	6	1186.288	2297.029	339
31	f	2004	11	h	6	1484.344	1488.372	1160
32	f	2004	11	h	6	868.413	880.588	713
33	f	2004	91	j	12	1201.521	3372.388	1585
34	m	2004	25	w/j	18	4877.946	4889.268	2267
35	f	2004	18	w/j	13	4507.861	4528.324	2477
36	f	2006	65	o	12	6987.164	6994.306	5234
37	m	2006	65	r/g	12	6994.295	6994.306	3800
38	f	2006	20	i	16	1325.329	1325.34	1343
39	f	2006	35	r/o	12	2621.049	2628.486	3511
40	f	2006	28	r	16	4341.369	4362.038	5610
41	f	2006	63	r	16	4247.131	4253.016	1560
42	m	2006	63	r	12	4241.4	4253.016	4074
43	f	2006	61	i	12	3715.226	3725.192	5511
44	m	2006	62	r	16	4243.092	4259.815	4503
45	f	2006	41	i	16	2747.997	2766.313	3562
46	f	2006	29	w/p/j	18	2981.42	3000	3833
48	f	2006	22	p/r/o	16	3637.803	3645.256	4919
49	f	2006	65	i	16	4486.837	4505.539	4752
47	f	2006	60	i	12	3715.173	3739.732	5837
50	m	2008	59	i	12	2470.638	2494.637	2257
51	f	2008	52	i		1798.669	2400	2099
52	m	2008	59	i		1817.219	2926.474	2151
53	f	2010	42	i	13	3239.538	4947.063	1146
54	m	2010	19	r/i	13	1824.49	1827.132	2561
55	f	2010	65	i	12	2960.418	2964.856	4799
56	f	2010	30	i/r	18	2791.453	2794.754	3735
57	m	2010	20	i	14	2037.603	2040.57	2788
59	m	2010	45	i	16	2660.603	2697.23	2070
60	m	2010	54	i	16	2277.038	2314.627	1393
61	m	2010	22	i	13	2155.506	2189.549	1187
58	f	2010	22	i	14	5707.903	5710.623	5704
62	f	2010	77	i	12	1852.388	1852.395	1344
63	m	2010	25	i	8	696.413	709.788	661
64	m	2010	25	i	11	701.633	709.788	152
65	f	2010	88	i	12	1989.382	1990.786	2226
66	m	2010	40	i	13	1912.973	1914.81	1840
67	m	2010	67	i	12	6661.908	6664.313	4108
68	f	2010	64	i	12	6664.301	6664.313	5071
69	f	2010	32	w/o	18	3197.962	3198.409	5764
70	m	2010	55	i	12	1801.654	2510.541	2452
71	m	2010	46	j	18	1800.963	5105.046	2321
72	m	2010	50	i	12	723.343	723.348	820
9	f	2002	14	h	8	2350.916	2377.081	2181
10	f	2002	8	h	2	901.181	2290.447	645
11	f	2002	14	h	8	903.341	3215.85	887
12	f	2002	19	a	12	1620.885	1632.822	1111
13	f	2002	17	w	10	597.898	1699.546	683
14	f	2002	16	h	11	3697.971	3715.871	1888
15	f	2002	63	r	10	902.565	2566.67	1345
16	f	2002	59	r/w	11	901.588	4571.302	1196
17	f	2002	66	w	7	900.608	2227.766	1185
18	f	2002	45	a	11	5182.947	5186.255	1768
19	m	2002	46	a	12	2665.817	2675.911	4073
20	m	2002	44	a	10	908.82	2852.697	1198
83	m	1973	14	r/g	9	1799.566	2880	1446
84	m	1973	12	i	7	1792.063	2880	891
85	m	1973	25	g	10	904.051	2860.105	1413
86	f	1973	41	r	10	2836.423	2854.372	4127
87	f	1973	31	r	12	3258.513	3297.34	2333
88	m	1973	84	r	4	3496.405	3517.295	5042
89	f	1973	16	w	10	1875.444	3541.156	1747
90	f	1973	78	i	12	5896.7	5909.125	7867
91	f	1973	23	i	12	3742.328	3755.414	3892
93	f	1973	45	i	11	4909.185	4922.932	6385
94	f	1973	72	r	8	1794.036	3292.24	1886
95	f	1973	58	i	6	1799.668	2557.702	1339
96	m	1973	65	i	u	1793.128	3183.805	1255
97	f	1973	69	i	8	3248.941	3252.983	2711
98	f	1973	65	i	8	1799.589	2988.468	1606
92	f	1973	52	i	12	1802.836	2932.158	2670
99	f	1974	42	w	16	1775.113	3000	981
100	f	1974	15	w	10	3262.776	3274.481	1591
101	f	1974	15	w	10	3262.776	3274.481	1258
102	f	1974	11	w	6	3137.003	3183.354	2406
103	f	1974	11	w	6	3183.202	3183.354	1157
104	f	1974	50	w	12	3298.859	3300	1551
105	m	1974	52	w	14	3294.664	3300	2101
106	f	1974	35	w	12	3279.282	3293.234	2102
107	m	1974	41	w	15	3260.772	3293.234	1897
108	f	1974	9	w	4	3366.631	3377.634	2493
109	f	1974	8	w	4	3355.683	3377.634	1298
110	m	1974	14	w	9	6629.479	6649.435	4530
111	m	1974	14	w	9	6615.655	6649.435	3298
112	m	1974	67	r	12	1803.458	3573.353	2751
113	m	1974	51	r	10	1198.958	2936.796	1646
114	f	1974	63	r	7	1806.562	3618.865	1141
115	m	1974	46	w	12	1198.493	3697.23	502
116	f	1974	15	j	10	1202.423	2520	956
117	m	1974	54	j	4	2404.83	2870.31	2098
118	f	1974	52	j	12	2404.392	2870.31	525
119	m	1974	30	w	12	1798.362	2520	961
120	m	1974	19	i	9.5	2851.713	2856.421	5222
121	m	1974	30	i/r	10	5400.504	5787.985	4368
122	f	1974	30	i	u	2345.383	2864.089	2874
123	m	1974	20	i	9	2857.828	2869.729	1117
124	f	1974	15	i	9	2851.37	2869.729	1542
125	f	1974	21	i	13	2836.883	2861.217	1730
126	m	1974	25	i	10	2841.183	2862.194	942
127	m	1975	14	r/i	8	1200.133	3050.813	673
128	m	1975	35	i/r	8	899.534	3331.054	945
129	f	1975	68	r	8	2001.911	3195.426	1445
130	m	1976	69	j	16	1201.668	2888.4	884
133	f	1976	17	j	11	1200.504	2778.45	1307
131	m	1976	44	j	16	1867.218	1919.392	1058
132	f	1976	40	j	14	1850.63	1919.392	895
134	m	1976	71	w	u	1326.908	1341.524	812
135	f	1976	68	w	6	1936.488	1937.617	1876
136	f	1976	25	p	12	1532.429	1560	1578
137	f	1976	24	u	9	1939.719	1941.118	1263
138	f	1976	65	p	12	1925.339	1945.665	1654
