time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)
0.027553	3	865.184	381.344	1459.661	538.548	3021.237	649.587	--undefined--	--undefined--
0.033803	3	994.811	534.709	1394.140	783.742	2898.425	540.048	--undefined--	--undefined--
0.040053	3	1013.683	823.470	1295.460	564.830	2835.206	410.165	--undefined--	--undefined--
0.046303	3	940.500	873.255	1318.068	417.216	2869.317	330.077	--undefined--	--undefined--
0.052553	3	896.628	569.710	1360.035	409.821	2993.751	373.796	--undefined--	--undefined--
0.058803	3	875.695	482.986	1383.468	488.527	3021.555	425.965	--undefined--	--undefined--
0.065053	3	840.911	335.097	1445.474	678.517	3054.310	487.396	--undefined--	--undefined--
0.071303	3	938.681	416.298	1273.437	1116.717	3008.568	505.933	--undefined--	--undefined--
0.077553	3	924.861	471.099	1255.315	895.869	2966.519	366.937	--undefined--	--undefined--
0.083803	3	925.457	493.578	1249.793	849.449	2942.749	280.428	--undefined--	--undefined--
0.090053	3	834.331	484.713	1374.299	445.515	2961.104	249.302	--undefined--	--undefined--
0.096303	3	841.829	415.466	1388.659	500.944	3010.719	287.047	--undefined--	--undefined--
