time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
0.027553	4	760.063	150.136	1387.488	170.062	2703.020	465.559	3803.135	1345.453	--undefined--	--undefined--
0.033803	4	790.374	185.191	1397.518	168.549	2698.829	297.216	3829.412	1322.674	--undefined--	--undefined--
0.040053	4	777.746	178.547	1393.297	122.819	2703.910	195.111	3933.142	1465.614	--undefined--	--undefined--
0.046303	4	773.330	191.223	1389.602	109.111	2765.887	166.974	4152.945	1848.944	--undefined--	--undefined--
0.052553	4	759.329	144.967	1359.446	94.804	2770.386	307.026	3647.149	1033.732	--undefined--	--undefined--
0.058803	4	749.640	132.438	1361.634	112.433	2780.129	323.152	3726.483	1107.582	--undefined--	--undefined--
0.065053	4	740.364	136.200	1358.443	199.128	2797.377	419.915	3705.678	1243.645	--undefined--	--undefined--
0.071303	4	731.940	178.335	1293.728	202.855	2784.967	331.749	3760.694	1117.066	--undefined--	--undefined--
0.077553	4	731.135	170.409	1302.760	182.749	2818.386	254.857	3784.496	1410.053	--undefined--	--undefined--
0.083803	4	735.608	176.621	1311.812	186.863	2841.662	197.352	3816.793	1673.938	--undefined--	--undefined--
0.090053	4	731.119	174.711	1356.812	144.324	2850.167	265.320	3551.550	1585.504	--undefined--	--undefined--
0.096303	4	740.658	167.982	1351.707	168.204	2874.518	344.258	3510.381	1466.150	--undefined--	--undefined--
