time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)
0.027553	4	790.920	224.026	1422.957	257.975	2847.766	433.067	4680.253	1366.073
0.033803	4	842.584	314.732	1430.650	313.444	2808.433	313.603	4973.536	1383.098
0.040053	4	818.834	311.787	1413.103	222.106	2768.792	204.353	4944.452	1161.436
0.046303	4	799.102	279.558	1401.566	159.995	2800.259	157.561	4779.414	1038.047
0.052553	4	801.592	285.102	1382.118	189.993	2896.967	263.561	4691.984	1460.302
0.058803	4	785.551	244.932	1389.391	211.891	2906.836	285.690	4721.474	1353.331
0.065053	4	775.671	216.701	1407.015	340.367	2940.273	354.230	4859.036	1572.476
0.071303	4	790.031	308.626	1325.337	417.761	2914.030	324.972	4750.886	1433.995
0.077553	4	774.725	281.293	1329.872	335.879	2895.698	228.226	4874.136	1396.586
0.083803	4	774.254	275.801	1336.321	319.128	2890.639	172.033	4992.086	1403.141
0.090053	4	767.278	280.458	1382.929	236.195	2908.529	192.877	5039.913	1825.518
0.096303	4	780.082	267.134	1385.735	280.612	2952.518	234.863	5148.197	1962.959
