time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
0.027553	5	749.794	132.041	1372.586	156.550	2656.914	596.438	3397.670	1517.913	5170.889	1878.723
0.033803	5	767.851	132.780	1373.503	125.399	2615.742	411.215	3264.533	1084.372	5139.558	1119.177
0.040053	5	755.793	118.085	1374.059	86.975	2650.561	299.624	3184.586	1174.268	5058.799	901.357
0.046303	5	751.195	136.111	1373.162	84.595	2756.650	275.129	2996.553	1555.822	4888.057	824.211
0.052553	4	759.731	145.813	1359.768	95.180	2770.997	304.303	3652.832	1024.641	--undefined--	--undefined--
0.058803	4	752.225	137.393	1364.327	115.067	2783.945	304.496	3760.357	1031.900	--undefined--	--undefined--
0.065053	4	749.068	147.701	1373.323	209.261	2807.199	350.990	3804.567	1014.169	--undefined--	--undefined--
0.071303	4	723.681	162.294	1284.133	184.258	2768.245	381.409	3612.892	1275.252	--undefined--	--undefined--
0.077553	4	728.266	165.210	1299.423	177.605	2816.835	268.245	3731.474	1520.756	--undefined--	--undefined--
0.083803	4	742.528	186.983	1319.662	196.407	2841.912	179.072	3883.843	1403.274	--undefined--	--undefined--
0.090053	4	765.504	213.401	1385.704	156.579	2841.428	175.171	3762.072	913.599	--undefined--	--undefined--
0.096303	4	775.935	201.613	1387.624	181.559	2862.558	216.956	3747.102	858.332	--undefined--	--undefined--
